Name,Nickname,Weapon,Description,Price
Rashon,Ocean's Wrath,School of Blue Whales,"Rashon is a unique individual who has a deep connection with the ocean and its creatures. He's an experienced scuba diver and spends most of his free time exploring the vastness of the ocean. One day, while diving in the Pacific Ocean, Rashon witnessed a blue whale getting caught in a ghost net. This tragedy had a profound impact on him, and from that day on, he dedicated his life to protecting the magnificent creatures of the sea.

Rashon's love for the ocean has also given him a deep sense of responsibility to protect it from human carelessness. He detests people who engage in irresponsible behavior that endangers marine life, and he's not afraid to take matters into his own hands. His weapon of choice is a pack of trained blue sperm whales. He has a special connection with these majestic creatures and can command them with ease.

If you are unlucky enough to cross Rashon's path and become his target, you better be prepared for the wrath of the ocean. Rashon is a master of the ocean's currents and knows all the hiding spots where he can release his pack of blue whales. Once he unleashes them, there's no escaping their wrath.",3.33
Joseph,Python Whisperer,Jupyter,"Joseph is not your typical assassin - he's a former computer science major turned salesman turned deadly hitman. With his extensive knowledge in the programming language Python, Joseph has found a unique way to use his skills to his advantage. He's become a Python Salesman - not of the software kind, but of the slithery, scaly, and lethal kind.

Joseph's weapon of choice is his collection of trained pythons, which he has named after computer programming terms and tools. His prized python, Code, is the star of the show, but he also has a whole collection of serpents, each with their unique skills and abilities. Joseph's pythons are not just any ordinary reptiles, but specially trained and conditioned to take down his targets silently and efficiently.

Joseph's approach to his targets is more strategic than most. He uses his knowledge of cognitive behavior and psychology to manipulate his victims into a false sense of security. Often disguised as a fellow salesman or tech specialist, Joseph gains the trust of his target before unleashing his deadly pythons on them.

Despite his unique approach to assassination, Joseph takes his work very seriously. He's a professional who prides himself on his precision and attention to detail. When it comes to his pythons, he cares for them like his own children, ensuring that they are in the best shape possible to carry out his deadly missions.

In the assassin community, Joseph is known for his unusual weapon of choice and his expertise in Python. His collection of snakes is affectionately referred to as Jupyter, a nod to the popular programming environment used by many Python developers.

Overall, Joseph is a lethal force to be reckoned with, using his unique skills and knowledge to take down his targets in a way that no one else can.",3.21
Markus,The Techno Reaper,Sonic Disruptor Gloves,"Markus utilizes his love for techno music to his advantage. His Sonic Disruptor Gloves emit powerful sound waves that can disorient and incapacitate targets, rendering them helpless.",3.2
DanielM,The Coding Engineer,Codebreaker Blade,"Daniel's proficiency in coding and civil engineering serves him well in his role as an assassin. His Codebreaker Blade is a technologically advanced weapon that can bypass security systems, allowing him to reach his targets undetected.",2.4
Ameesha,The French Whisperer,Poisoned Quill Pen,"Ameesha's linguistic skills and knowledge of French aid her in her covert operations. She discreetly administers lethal toxins using a specially designed quill pen, making it seem like a mere accident.",2.6
Phuvit,The Deadly Striker,Precision Football,Phuvit's passion for football translates into his deadly precision on the field and in his missions. He wields a modified football that contains a hidden compartment filled with poisonous darts. His accurate throws ensure a swift and lethal end for his targets.,1.8
Juan,Iron Fist,Dumbbell Throwing,"I will deliver a powerful attack with my dumbell that creates shockwaves upon impact, damaging your enemy with a slow death",3
Rika,Alcina Dimitrescu,Rubber Duck Launcher,"My blade releases a viral mist upon impact, infecting enemies and gradually sapping their health. That is what I call a slow and painful death.",9
Mei,Sweet Curator,Celestial Harp,A mysterious fighter who uses her harp to play a mesmerising tune that puts her enemies to sleep. She is also a skilled healer and can use her harp to restore her allies' health. ,5.3
Jun,Lightning Jab,Knockout Gloves,"My spinning uppercut, creates a tornado that damages and stuns your target. I am also a skilled acrobat and can use his agility to dodge his enemies' attacks. They will never know what hit them.",6.9
DanielS,Digital Dungeon Master,Pixel Sword,"My sword the harnesses the pixelated energy of virtual worlds, allowing me to bring your enemy into my virtual dungeon forever.",4
Stefano,Brock,Pokéblade,"I am a powerful Pokemon Master who uses my mystical blade to summon and control Pokémon in battle. I will can call upon a group of Pokémon to perform a coordinated attack, overwhelming your  enemies with their combined strength.",3.6
Tsubasa,Martial Fury,Fury Gloves,"My gloves are infused with martial arts energy. My special abilities are Dragon Kick, where I perform a lightning-fast roundhouse kick, or Submission Hold, locking your target into a bone-crushing position and leading to a slow death.",8.3
Xzaiver,Metal Master,Metalaxe Guitar,"With the power of my massive guitar-shaped axe made of pure metal, I am capable of shredding your target and summoning metallic creatures if he tries to run away.",4
Gui,The Melody Man,Vocal,"Gui's appearance, coupled with his vocal prowess, makes him a master of disguise. He can blend in easily in any social setting, from high-end parties to dingy dive bars, and use his singing to win over the crowd or distract any potential threats. Gui's charm and confidence make him a natural leader, and he often takes charge of his missions, delegating tasks to his fellow assassins or manipulating his targets' associates.",
Fontain,The Behemoth,physical strength,"Fontain is a highly skilled and ruthless assassin known for his incredible physical strength. Like Ma Seok-do in The Outlaws, he relies on his impressive power to overwhelm his opponents in close combat. Fontain's strength comes not only from his natural physical abilities, but also from years of intense training in various martial arts and combat techniques.

Standing well over six feet tall and weighing in at over 250 pounds of pure muscle, Fontain cuts an imposing figure. His intense gaze and chiseled features give him an air of confidence and danger, and his sheer size and bulk make him a force to be reckoned with in any fight. Whether he is taking on multiple opponents at once or facing off against a single foe, Fontain's strength and skill are formidable.",
Andrew,The Energy Converter,Eating,"Andrew is a unique assassin as he is an android bot, designed to look like a human and blend in with society. However, what sets him apart from other robots is his weapon of choice: eating. Andrew's internal systems are programmed to consume any matter, organic or inorganic, and convert it into energy to power his advanced processors and systems. He can eat anything from a simple apple to a steel beam, and his appetite is insatiable.

Andrew's eating is not just a means of survival; it is also a deadly weapon. He can consume his targets, leaving no trace behind and making it nearly impossible for anyone to determine the cause of death. Andrew's systems are also capable of analyzing the matter he consumes, allowing him to extract valuable information or replicate important items. He can use this to his advantage in his missions, either by obtaining critical intel or by creating forgeries to deceive his targets.",
Lucca,The Digital Hitman,intelligence,"Lucca is a master of computer science, artificial intelligence, and cryptography. He can hack into any system, no matter how secure, and use his advanced knowledge to gain access to critical information or to sabotage his targets' operations.

Lucca's intelligence is not limited to computers, though. He is also a master strategist, capable of analyzing complex situations and devising the most efficient and effective course of action. His ability to think on his feet and adapt to changing circumstances makes him a formidable opponent, and he can quickly turn the tide of any battle with his cunning.",
Taylor,The Death Painter,The Death Note,"Taylor is an assassin who wields a powerful weapon: The Death Note. Similar to the popular manga and anime series, Taylor's Death Note has the ability to kill anyone whose face is drawn inside it, as long as the writer knows their face. With this deadly tool at her disposal, Taylor is a force to be reckoned with. She is a skilled observer, often taking note of her targets' habits, routines, and weaknesses before striking. Once she has their name and face, she can easily dispatch them with a stroke of her pen.",
Cai, The Frog Assassin,Cai's own specially bred frog,"Her weapon of choice is her own specially bred frog, which is highly toxic and capable of killing within minutes. She is a master of handling and training these frogs, using their deadly venom to dispatch her targets with ease.

Cai's love for these creatures is evident in the care and attention she puts into their breeding and training. She has spent years perfecting her techniques and developing new ways to use her frog companions in her assassinations. ",
Fumi,The Ghost Ninja,move with lightning speed,"Fumi is a highly skilled assassin with the ability to move with lightning speed, just like a ninja. His weapon of choice is his incredible agility and speed, which allow him to quickly and efficiently take out his targets without being seen. Despite his deadly abilities, Fumi is also a skilled strategist. He is able to quickly assess any situation and come up with a plan of attack, using his speed and agility to execute his plan with precision. Hhe is always one step ahead of his opponents, and his quick thinking and lightning-fast reflexes have saved his from many dangerous situations.",
Anne,Mrs Smith,Beauty,"
Anne is a highly skilled assassin with a weapon that is unexpected but no less lethal: her beautiful face. Able to charm her way into any situation, Anne uses her looks to gain the trust and confidence of her targets, before striking with deadly precision. Her beauty is not just a tool, however. Anne's sharp intellect and strategic mind make her a force to be reckoned with in any situation. She is able to think on her feet and adapt quickly to changing circumstances, making her an invaluable asset to any mission.

Despite her deadly profession, Anne is also fiercely loyal to those she cares about. Her love for her partner in crime, John, is a driving force in her life, and she will do whatever it takes to protect him.",
Doug,Futsal Fury,Electric Ball,"Futsal Fury, wields the Thunderous Soccer Boots. He kicks soccer balls infused with lightning, electrifying enemies and creating chaos on the battlefield. His lightning-fast footwork and precision strikes make him a formidable opponent, and his celebrations are just as entertaining as his attacks.",
Yann,French,Flaming Baguette,"The French Fury, wields the Baguette Blade. This enchanted sword is as crusty as it is deadly, capable of slicing through enemies with the precision of a master chef. With each swing, a gust of aromatic perfume wafts through the air, reminding everyone of the streets of Paris and the allure of French cuisine. Yann's elegant swordplay and sophisticated style make him the epitome of French charm.",
Soufiane,French,Putting Fire in Cars,"The French Fencer, wields the Eiffel Tower Épée. This enchanted rapier not only delivers precise and deadly thrusts but also emits a charming aroma of freshly baked croissants. His elegant swordplay and sophisticated demeanor leave enemies in awe, distracted by thoughts of gourmet cuisine and Parisian charm.",
Noemi,Dazzling Diva,Venetian Veil,"Dazzling Diva, carries the Venetian Veil. This mystical accessory allows her to summon ethereal gondolas and create illusions of romantic Italian landscapes. With her enchanting voice, she sings melodies that can both heal allies and bewitch enemies. Noemi's passion and fiery spirit bring a touch of Italian flair to the group, captivating all those who cross her path.",
LuYee,Zen Zapper,Tranquil bomb,"The Zen Zapper, fights with the Tranquility Staff. With each swing of the staff, she releases waves of calming energy that soothe enemies into a state of peaceful contemplation. Her tranquil demeanor and philosophical musings make him a master of mental manipulation, turning battles into moments of enlightenment.",
Sarah,The giggler,Energizer Bunny,"Energizer Bunny is always on the move, leaving a trail of laughter behind. Armed with her trusty Rubber Chicken Launcher, she fires squawking projectiles that stun enemies with laughter. Watch out, because her infectious giggles can turn even the fiercest foes into rolling balls of laughter!",
Sylvain,Invoice Master,Coin Cannon,"Penny Pincher Extraordinaire, fights with his mighty Coin Cannon. He fires an endless barrage of coins at his foes, demanding payment for crossing his path. His weapon doubles as a piggy bank, so he never runs out of ammunition or his favorite topic of conversation— Have you paid your invoice?!",
Gilary,Confetti Master,"Giggle Generator,","Giggle Generator, wields the Jester's Jinx. This magical staff releases bursts of colorful confetti and showers of ticklish feathers, leaving enemies in fits of uncontrollable laughter. Gilary's infectious giggles and playful antics turn any battle into a joyous carnival, making her the heart and soul of the group. Beware, because her mischievous pranks and never-ending laughter can turn even the fiercest foes into helpless, giggling messes.",
Celso,Samba Samurai,Capoeira,"Samba Samurai, fights with the Capoeira Cutlass. He combines the art of capoeira with masterful swordplay, gracefully dancing through battles with acrobatic flips and spins. His strikes are as quick and precise as the beats of a samba drum, and his footwork mesmerizes both allies and enemies alike. Celso's infectious energy and vibrant personality infuse every battle with the spirit of Brazil, leaving a trail of rhythmic energy and joyful celebration in his wake.",
